buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
4,238,30,296,1663.23,39161.56,-18.11,-77.76,16009.71,17036.0,0,0,0,0,0,2,0.8040540540540541,2.4461130151639225,2.298753228457384,0.9397575722000469,67.26768907563024,71.5798319327731,0.00012492418663423636,0.006077388132648445,-0.001985620593255223,-0.010888451987999254,400,0,400,0,0,0,0,Success
0,555,4,557,46.6,405448.53,-2.05,-94.68,9517.57,5831.0,0,0,0,0,0,2,0.9964093357271095,42.60000504330412,69.53327559595267,1.6322363231006687,17.148774774774775,10.506306306306307,0.00021013767169561137,0.001368854389483173,-0.0002335191596329132,-0.04399141630901287,400,0,400,0,0,0,0,Failure
504,876,474,822,255256.74,374016.53,-35.61,0.21,36111.26,78325.0,1,0,0,1,0,2,1.0656934306569343,10.357338126667416,4.775187105011172,0.46104385572933293,41.222899543379,89.412100456621,5.538438703052732e-05,0.0023421424716174974,5.614725103192631e-07,-0.00013950660029584332,400,0,400,0,0,0,0,Success
0,146,1,198,2.94,69728.57,-0.73,-95.79,8121.84,4385.0,0,0,0,0,0,2,0.7373737373737373,8.585316874008846,15.901612314709238,1.8521870011402508,55.629041095890415,30.034246575342465,0.0002462496183130916,0.0020938332737929373,-0.0013737554061412703,-0.24829931972789115,400,0,400,0,0,0,0,Failure
1985,8595,2376,8470,807177.28,3268942.08,-76.42,42.54,44804.39,106922.0,1,0,0,0,0,3,1.0147579693034239,72.96030768413542,30.5731475281046,0.4190380838368156,5.212843513670739,12.44002326934264,6.695772445512594e-05,0.00262929100291676,1.301338444026515e-05,-9.46756083124639e-05,400,0,400,0,0,0,0,Success
30,145,8,23,45151.22,155251.93,9.41,38.64,2020654.58,1192123.0,0,0,0,0,0,1,6.304347826086956,0.07683249355760745,0.13023146940374442,1.695005112727462,13935.548827586208,8221.537931034483,4.948891363708487e-07,0.0009339658450622804,0.0002488857948497001,0.00020841075833609812,11499,0,400,100,10999,0,0,Failure
25,130,1,14,36412.08,135313.68,10.92,52.58,1388689.94,859622.0,0,0,0,0,0,1,9.285714285714286,0.09743980718978924,0.15741067585520147,1.615465797757619,10682.230307692307,6612.476923076923,7.201031498795189e-07,0.0009607306519193034,0.00038857859752243826,0.000299900472590415,11499,0,400,100,10999,0,0,Success
0,21,4,14,212.55,2619.45,-10.3,9.82,7632.18,4637.0,0,0,0,0,0,1,1.5,0.34321124501780614,0.5649018762130688,1.6459305585507873,363.4371428571429,220.8095238095238,0.00013102416347622828,0.008016950123117449,0.003748878581381588,-0.04845918607386497,500,0,500,0,0,0,0,Success
29,119,0,9,5683.24,35827.58,7.36,45.57,333054.02,209928.0,0,0,0,0,0,1,13.222222222222221,0.10757287961874773,0.17066603787965398,1.5865154719713426,2798.7732773109246,1764.1008403361345,3.002515928196873e-06,0.0033214635205615337,0.0012719251481679756,0.0012950359302088246,11499,0,400,100,10999,0,0,Failure
1273,3835,1322,3803,295080.32,1065125.6,-92.89,5418.0,42508.27,37955902.0,0,0,0,0,0,1,1.008414409676571,25.056903044983958,0.028062186481564846,0.0011199383431857316,11.084294654498043,9897.236505867015,2.3524834108751077e-05,0.0036005143430971895,0.005086724044563382,-0.0003147956461481403,2200,1700,400,100,0,0,0,Failure
64,247,1,15,12339.9,62819.75,13.85,106.0,390505.51,286490.0,0,0,0,0,0,1,16.466666666666665,0.1608677685495398,0.21927379664211666,1.3630685538762262,1580.993967611336,1159.8785425101214,2.56078332928004e-06,0.003931884479005408,0.0016873674282371388,0.0011223753839172117,11499,0,400,100,10999,0,0,Success
14,90,1,10,6524.69,25828.14,9.98,45.24,282701.07,172502.0,0,0,0,0,0,1,9.0,0.091362017129967,0.14972661186536967,1.6388277817068788,3141.123,1916.6888888888889,3.5373053239593325e-06,0.003484571479014749,0.0017515779301180807,0.0015295745851527046,11499,0,400,100,10999,0,0,Success
10,185,14,134,1848.44,31334.4,-10.99,-24.39,33486.09,77275.0,0,0,1,1,0,2,1.3805970149253732,0.9357437670387915,0.40549207376253643,0.4333366548042704,181.00589189189188,417.7027027027027,5.97262923201843e-05,0.005904054330065359,-0.0007783777573529411,-0.005945554088853304,500,0,500,0,0,0,0,Success
1718,5336,1757,5393,302084.57,1119468.93,-23.94,19698.0,81324.25,139477178.0,0,0,0,0,0,1,0.9894307435564621,13.765499589605806,0.008026179953253713,0.0005830649226355871,15.240676536731634,26138.901424287855,1.2296455239365872e-05,0.004766545865636486,0.01759584341478776,-7.924933074205015e-05,2300,1800,400,100,0,0,0,Failure
29,344,14,177,8403.18,148555.68,9.46,1475.0,85717.89,273849.0,1,0,0,1,0,1,1.9435028248587571,1.7330767241237506,0.5424729686798199,0.3130115136443807,249.17991279069767,796.0726744186046,1.1666176103961495e-05,0.002315630072172266,0.009928937082715384,0.0011257642939934644,500,0,500,0,0,0,0,Failure
1,251,14,304,646.63,44996.24,-22.09,-94.71,7986.84,4237.0,1,0,1,1,0,2,0.8256578947368421,5.633797597047142,10.619834788765635,1.8850224215246638,31.8200796812749,16.8804780876494,0.0002504119276209364,0.0055782438710434475,-0.0021048425379542822,-0.03416173081978875,400,0,400,0,0,0,0,Failure
23,111,3,14,5715.44,29729.26,7.03,34.15,354762.1,212265.0,0,0,0,0,0,1,7.928571428571429,0.08380055253929324,0.1400572868819636,1.6713169858431676,3196.0549549549546,1912.2972972972973,2.818790395028105e-06,0.003733695356022989,0.001148699967641307,0.001230001539688983,11499,0,400,100,10999,0,0,Success
706,2921,710,2686,353502.36,1431215.49,-57.1,100.0,52113.56,160800.0,0,0,0,0,0,3,1.0874906924795233,27.463398969481265,8.900593843283582,0.3240893034825871,17.840999657651487,55.04964053406368,5.756659111371398e-05,0.002040922572742697,6.987068034038676e-05,-0.00016152650296309196,400,0,400,0,0,0,0,Success
2150,6143,2177,6089,269423.74,2025516.4,-15.82,20589.0,133694.19,378740610.0,0,0,0,0,0,1,1.0088684513056332,15.150369660790794,0.005348030674608672,0.00035299671191848164,21.763664333387595,61654.01432524825,7.479756599744537e-06,0.0030328068437263703,0.010164815254026086,-5.8717914019009616e-05,2400,1900,400,100,0,0,0,Failure
51,719,53,703,132167.56,1288111.26,36.61,207.0,154697.58,64416836.0,1,0,0,0,0,14,1.0227596017069702,8.326641308803927,0.01999649998332734,0.0024015085124640396,215.156578581363,89592.26147426982,9.049915325113684e-05,0.0005581815968288329,0.00016070040409397554,0.00027699686670465884,400,0,400,0,0,0,0,Success
