buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,dayOfWeek,time,result,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol
228,774,143,434,187016.64,618656.36,-43.48,59419.0,90435.88,74691563.0,0,0,0,0,0,1,5,979,Failure,1.7834101382488479,6.840828662252194,0.008282814486021667,0.0012107911036752573,116.84222222222223,96500.72739018088,1.1057558128477325e-05,0.0012510984288596014
708,3454,609,2729,348532.07,1521972.91,8.88,263.0,78174.04,320982.0,1,0,0,0,0,2,5,979,Failure,1.2656650787834371,19.46903230279515,4.74161451420952,0.2435464917035846,22.63290098436595,92.93051534452809,2.5583940653444547e-05,0.002269422784929858
214,925,72,186,197359.72,751826.97,-98.4,-82.14,38110.97,83418.0,0,0,0,0,0,1,5,980,Failure,4.973118279569892,19.7273113226979,9.01276666906423,0.45686746265793954,41.20104864864865,90.18162162162162,2.623916420915028e-05,0.0012303362833605185
249,962,235,876,71897.19,285723.71,8.52,31.94,119882.38,402603.0,1,0,0,1,0,1,5,980,Failure,1.0981735159817352,2.3833670135677987,0.7096909610708316,0.2977682232869601,124.61785862785864,418.50623700623703,8.341509402799645e-06,0.0033668889431682095
30,126,3,8,13377.74,40986.28,15.12,59.8,351576.53,226559.0,0,0,0,0,0,1,5,981,Failure,15.75,0.11657854407971999,0.18090775471290038,1.5518100362378013,2790.2899206349207,1798.0873015873017,2.8443309341496714e-06,0.0030741994638205762
76,645,140,759,17661.41,148743.64,-78.86,-91.66,12703.08,9311.0,1,0,0,0,0,3,5,981,Failure,0.849802371541502,11.709257912254351,15.975044570937602,1.3643088819675653,19.694697674418606,14.435658914728682,0.00023616319821649553,0.0043363198587852226
598,1851,410,1166,163550.42,422440.17,14.72,227.0,76756.97,336213.0,1,0,0,1,500,2,5,982,Failure,1.5874785591766725,5.5036066431491495,1.256465901080565,0.22829863806575,41.467839005942736,181.6385737439222,2.6056265639459193e-05,0.004381685576918502
4,570,2,1082,183.52,1078023.86,-0.47,-99.66,8986.43,4631.0,0,0,0,0,0,2,5,985,Failure,0.5268022181146026,119.96130387706799,232.78424962211187,1.9404944936298856,15.765666666666668,8.124561403508771,0.00022255778991212306,0.0005287452543026273
886,1856,592,1349,313262.42,647875.19,11.16,413.0,95617.21,519614.0,1,0,0,1,0,3,5,986,Failure,1.3758339510748703,6.7757173630144605,1.2468393653750667,0.18401584637827312,51.51789331896552,279.96443965517244,3.1375104962799056e-05,0.0028647493045689866
32,123,5,11,101.83,12013.04,0.99,3076.0,29146.89,1639433.0,0,0,0,0,0,1,5,986,Failure,11.181818181818182,0.4121551218672044,0.00732755775929849,0.01777864054218745,236.96658536585366,13328.723577235773,3.4308977733130364e-05,0.01023887375718386
2,99,8,104,378.45,34419.01,-10.2,-94.17,9622.81,5453.0,1,0,0,1,0,2,5,987,Failure,0.9519230769230769,3.576814880476701,6.311940216394645,1.7646818265175133,97.20010101010101,55.08080808080808,0.00020783949802604437,0.0028763174768826876
708,2186,465,1390,45421.36,206875.34,20.76,166563.0,201884.8,783212532.0,0,0,0,0,0,1,5,987,Failure,1.572661870503597,1.0247197411593147,0.00026413691245686044,0.0002577650276923812,92.35352241537053,358285.6962488564,4.953319913138582e-06,0.01056675000509969
530,2638,762,2684,232890.87,1140900.52,-70.55,33.11,49316.82,131976.0,0,0,0,0,0,2,5,988,Failure,0.9828614008941878,23.134105564795135,8.644757531672425,0.3736802145844699,18.694776345716452,50.02880970432145,4.055411520856373e-05,0.002312208605181458
9,194,17,236,742.89,63521.16,-10.1,-94.24,9181.86,4917.0,0,0,0,0,0,2,5,988,Failure,0.8220338983050848,6.91811463036901,12.918682123245881,1.8673703477730323,47.32917525773196,25.34536082474227,0.00021782079012313407,0.003054100397410878
11,59,3,35,1603.72,15940.07,15.17,140.0,15633.13,15365.0,1,0,1,1,0,1,5,989,Failure,1.6857142857142857,1.0196339440662234,1.0374272697689555,1.0174506996420436,264.96830508474574,260.4237288135593,6.396671683789491e-05,0.003701363921237485
0,111,1,94,12.01,112687.97,-0.51,-95.51,9038.56,4784.0,0,0,0,0,0,2,5,990,Failure,1.1808510638297873,12.46746937565276,23.555177675585284,1.8893311036789298,81.42846846846847,43.0990990990991,0.00022127418526844984,0.0009850208500516958
49,752,91,970,11755.32,222370.77,-42.14,-80.61,18382.71,19304.0,0,0,0,0,0,2,5,990,Failure,0.7752577319587629,12.096734921020895,11.519414111065064,0.9522746581019478,24.445093085106382,25.670212765957448,0.00010879788670984855,0.003381739425554897
51,932,48,1027,14569.05,362021.48,20.72,-83.43,19611.32,21526.0,0,0,0,0,0,2,5,991,Failure,0.9074975657254138,18.459822184330275,16.817870482207564,0.9110526804794202,21.042188841201718,23.09656652360515,0.00010198191656655442,0.0025744328761928715
95,368,69,283,26182.55,90108.71,11.8,12.19,32578.45,28188690.0,1,0,0,1,100,21,5,991,Failure,1.3003533568904593,2.765899237072359,0.0031966263774584774,0.0011557277049767123,88.52839673913044,76599.70108695653,0.0006445978860258852,0.004083955923905691
135,1352,115,1322,49476.06,659359.59,-2.28,-45.22,34405.56,64323.0,0,0,0,0,0,2,5,992,Failure,1.0226928895612708,19.16433245091782,10.250759292943426,0.5348873653281097,25.447899408284023,47.576183431952664,5.813013943095244e-05,0.0020504744611358427
1278,3856,1317,3745,364195.32,991360.72,-83.16,18094.0,60368.93,66824939.0,0,0,0,0,0,1,5,995,Failure,1.0296395193591454,16.421704343608543,0.014835190796058937,0.0009033892271865748,15.65584284232365,17330.11903526971,1.656481239604545e-05,0.003889603372625052
44,158,3,12,20112.41,68436.25,6.24,22.26,1249742.89,701298.0,0,0,0,0,0,1,5,996,Failure,13.166666666666666,0.05476026352908477,0.09758512073326889,1.782042569635162,7909.765126582278,4438.594936708861,8.001645842530059e-07,0.00230871796745146
15,624,17,671,5554.65,200290.65,13.01,-91.16,11508.1,7604.0,0,0,0,0,0,2,5,996,Failure,0.9299552906110283,17.404319566218575,26.340169647553918,1.513427143608627,18.44246794871795,12.185897435897436,0.00017379063442271095,0.0031154724396770393
17,99,0,8,6829.33,31550.18,9.31,42.15,320552.08,199151.0,0,0,0,0,0,1,5,997,Failure,12.375,0.09842450562167619,0.1584234073642613,1.609593122806313,3237.899797979798,2011.6262626262626,3.119617879253817e-06,0.003137858484484082
7,31,2,2,2395.27,6867.31,26.18,256.0,92699.33,1899402.0,0,0,0,0,0,1,5,1007,Failure,15.5,0.07408154945672207,0.0036155116189200602,0.04880448162105758,2990.3009677419354,61271.032258064515,1.078756448401515e-05,0.004514140180070508
1300,3825,1408,4108,324657.52,1034562.72,-83.06,8674.0,62104.06,71110350.0,0,0,0,0,0,1,5,1007,Failure,0.931110029211295,16.65853601197732,0.01454869396649011,0.0008733476912995084,16.236355555555555,18590.941176470587,1.610200685752268e-05,0.003697214220129641
1,336,7,398,302.03,90460.0,-6.7,-92.63,11243.22,7317.0,0,0,0,0,0,2,5,1021,Failure,0.8442211055276382,8.045737786861771,12.362990296569633,1.5365887658876587,33.46196428571428,21.776785714285715,0.00017788498312760936,0.003714348883484413
2,158,7,191,171.18,98668.57,-2.85,-96.22,9373.12,5128.0,1,0,1,1,0,2,5,1023,Failure,0.8272251308900523,10.526758432624355,19.241140795631825,1.8278315132605305,59.323544303797476,32.45569620253165,0.00021337612235840359,0.0016013204610140796
6,114,12,158,578.46,18685.59,-0.52,-6.2,42064.42,104386.0,0,0,0,0,0,2,5,1023,Failure,0.7215189873417721,0.4442136608563722,0.17900475159504148,0.4029699384974996,368.9861403508772,915.6666666666666,4.75461209259512e-05,0.0061009580109592475
60,301,125,425,54242.0,149967.68,-14.88,-20.37,35528.02,18141457.0,1,0,1,0,0,15,5,1024,Failure,0.7082352941176471,4.221109985864678,0.00826657307624189,0.0019583884579943054,118.03328903654484,60270.62126245847,0.0004222019690373964,0.0020070991296257967
20,90,1,4,1583.17,5696.78,1.5,5.36,479488.99,245686.0,0,0,0,0,0,1,5,1024,Failure,22.5,0.011880940165070318,0.023187238996116993,1.9516333450013432,5327.655444444445,2729.8444444444444,2.0855536224095575e-06,0.01579839839347842
27,487,19,440,3018.84,112203.43,-3.35,-62.74,23560.49,32193.0,1,0,1,1,0,2,5,1025,Failure,1.106818181818182,4.762355536748174,3.48533625322275,0.7318513341409624,48.378829568788504,66.1047227926078,8.488787796858214e-05,0.004340330772419346
1,122,5,155,14.79,69548.37,1.21,-94.19,8937.62,4664.0,0,0,0,0,0,2,5,1025,Failure,0.7870967741935484,7.7815313248940985,14.911743138936535,1.9162993138936537,73.25918032786886,38.22950819672131,0.00022377321926866434,0.001754174828252625
393,1275,364,1141,110411.36,385511.48,7.34,43.89,125328.29,438046.0,1,0,0,1,0,1,5,1028,Failure,1.1174408413672217,3.076013244894668,0.8800707688233655,0.28610760057162943,98.29669803921568,343.56549019607843,7.979044475912024e-06,0.0033072945065086
3,28,0,8,180.67,3256.65,12.5,19.0,6380.4,4359.0,0,0,0,0,0,1,5,1055,Failure,3.5,0.5104147075418469,0.7471094287680661,1.463730213351686,227.87142857142857,155.67857142857142,0.00015672998558084134,0.00859779220978613
29,127,5,12,57010.44,186965.74,12.79,53.03,1916997.96,1187801.0,0,0,0,0,0,1,5,1055,Failure,10.583333333333334,0.09753048459164766,0.157404935675252,1.6139049891353854,15094.472125984252,9352.763779527559,5.216489640917511e-07,0.000679268832888849
31,133,1,8,11505.29,40714.66,14.49,61.08,352435.27,228320.0,0,0,0,0,0,1,5,1056,Failure,16.625,0.1155237953341049,0.17832279257182904,1.5436022687456203,2649.889248120301,1716.6917293233082,2.837400467893012e-06,0.003266636636533376
0,235,4,240,28.08,108215.82,-3.63,-91.89,10577.89,6583.0,0,0,0,0,0,2,5,1249,Failure,0.9791666666666666,10.230378648293753,16.438678414096916,1.6068494607321888,45.012297872340426,28.01276595744681,0.00018907362432394364,0.0021715863724915633
56,223,15,73,1784.6,15550.17,-1.5,12.39,43127.57,111224.0,0,0,0,0,0,2,5,1250,Failure,3.0547945205479454,0.36056216475910885,0.13980948356469827,0.3877541717614903,193.39717488789236,498.76233183856505,4.637404796977896e-05,0.01434067923373185
317,1854,1299,2496,850831.36,5385818.88,-99.91,-98.79,10289.32,5699.0,0,0,0,0,0,2,5,1251,Failure,0.7427884615384616,523.4377859761383,945.0463028601508,1.8054606071240569,5.549795037756203,3.0738942826321467,0.00019437630475094565,0.00034423734650356456
16,88,0,4,6826.59,26075.11,9.17,41.26,319668.96,190583.0,0,0,0,0,0,1,5,1251,Failure,22.0,0.08156910198600452,0.1368176070268597,1.6773214819789803,3632.6018181818185,2165.715909090909,3.1282361603078383e-06,0.003374865916193642
189,928,106,210,190989.53,385905.67,-50.28,557932.0,272483.71,695655992.0,0,0,0,0,0,1,5,1252,Failure,4.419047619047619,1.416252259630493,0.0005547363559545103,0.0003916931833169634,293.62468750000005,749629.301724138,3.669944159230656e-06,0.002404732742071398
5,1204,29,1194,1197.13,815738.15,-27.52,-95.48,11120.44,6947.0,0,0,0,0,0,2,5,1252,Failure,1.0083752093802345,73.35484477232914,117.42308190585865,1.600754282424068,9.23624584717608,5.769933554817276,0.00017984899878062378,0.0014759638249112169
2,425,19,423,273.62,135952.32,-7.43,-92.63,10516.93,6496.0,0,0,0,0,0,2,5,1253,Failure,1.0047281323877069,12.926996756658074,20.928620689655173,1.6189855295566502,24.745717647058825,15.284705882352942,0.00019016956469235794,0.0031260959724703483
1920,4942,2126,5004,690559.11,2371705.35,-99.77,322.0,17540.3,5638949.0,0,0,0,0,0,1,5,1253,Failure,0.9876099120703438,135.21464000045611,0.42059350953519886,0.0031105619149951525,3.5492310805341964,1141.0256980979361,5.701156764707559e-05,0.0020837327031370066
1,19,2,6,98.11,1487.05,-8.34,36.05,4290.43,3054.0,0,0,0,0,0,1,5,1253,Failure,3.1666666666666665,0.34659696114375477,0.48691879502292074,1.4048559266535692,225.81210526315792,160.73684210526315,0.00023307687108285182,0.012776974546921758
